account_number,balance
,62.16
,15261155.37
,481933.23
,7056100.14
,19841.48
,188373.37
,216535.31
,49101.99
,226.0
,2959.34
,3087.54
,3549831.94
,20.04
,40648027.16
,1045.56
,79272344.14
,807945.23
